name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r
manga-10218-12702,117.76574,17.96273,3.039,0.344,0.31,1.05014E10,10.021247201140806,0.847939,1.37977,43.463585,8.83040237426758,-0.377569437026978,0.279199877681282,0.0803373407489766,0.482746261342454,15.62545
manga-10218-12703,118.634242089,16.8097293987,2.783,1.148,2.74,6.24235E10,10.795348115307732,0.442493,1.66149,18.509815,8.78672885894775,-0.293073296546936,1.49495395890029,1.17208314790873,0.602850502885666,14.6683
manga-10218-12704,119.060993252,17.0202860988,2.392,0.446,0.32,9.65749E8,8.984864267120034,0.452061,0.817051,12.862678,8.26923751831055,-0.819889843463898,-0.170953475001335,-0.286995633677806,0.581078100165273,15.1791
manga-10218-12705,118.61245,16.2148,2.533,0.244,0.33,2.40538E9,9.38118369562321,0.862823,0.796438,24.948637,8.90811920166016,-0.57005363702774,-0.725596629552411,-0.87762549789513,0.562233331620405,15.29183
manga-10218-1901,118.034707037,17.9303045778,2.777,0.11,0.1,8.94647E8,8.951651709960576,0.655236,2.58998,5.1710205,8.76499557495117,-0.457561284303665,-0.366922786767896,-0.028366471526549,0.290786784314035,16.03363
manga-10218-1902,119.207582307,17.3803033794,3.169,0.106,0.11,2.25319E10,10.35279781510261,0.321728,5.11867,7.6138167,9.37712001800537,-0.18636454641819,-0.228596137881545,-0.422711706906716,0.253575682768828,14.93812
manga-10218-3701,117.587908107,17.169833722,2.441,0.121,-0.06,9.63303E9,9.983762912805023,0.493685,0.5,7.4309955,8.75601863861084,-0.566639840602875,0.390240635665955,0.4836994666356,0.535681123535856,15.9612
manga-10218-3702,118.184498039,16.7095016652,3.393,0.102,0.17,5.92769E10,10.772885483296216,0.801463,4.93755,8.985889,9.56642818450928,-0.115679532289505,-0.506777903337995,-1.4269905047346,0.101666229560667,15.61949
manga-10218-3703,119.87865241,17.4914220335,3.519,0.15,0.02,1.96578E10,10.29353491220809,0.610512,2.7958,12.130901,9.11950302124023,-0.149666160345078,0.244615972719085,0.140086896814671,0.333675564900953,14.46974
manga-10218-3704,119.168808316,16.9201143063,2.497,0.142,0.3,1.38162E10,10.140388611347742,0.727878,0.763895,10.752045,8.71274185180664,-0.355252206325531,0.914727848682735,0.88370836941461,0.374242305839439,14.52951
manga-10218-6101,118.98443,16.65766,2.559,0.455,0.22,9.8539E10,10.993608150625256,0.423762,6.0,6.6137266,9.50390911102295,-0.36422324180603,-0.762350794522714,-1.17640006225225,0.127649119743773,16.19468
manga-10218-6102,119.036102953,17.3806654122,3.37,0.083,0.16,1.50435E10,10.177348890367913,0.468943,2.11439,11.94487,9.35859870910645,-0.280089557170868,-0.179815360829391,-0.00671793955011569,0.434926060607128,14.66078
manga-10218-6103,118.637432363,18.3280658072,3.07,0.284,0.22,3.33448E9,9.523028116891668,0.5292,1.74114,9.129296,8.45997428894043,-0.450748860836029,0.558978759927236,0.568155693949979,0.56063972182315,16.24101
manga-10218-6104,119.63633689,17.9100412893,3.148,0.102,0.04,8.07228E9,9.906996217691926,0.58411,2.27024,9.42301,8.68513488769531,-0.353979736566544,0.616737208247523,0.125478763008856,0.330304474412523,16.30934
manga-10218-9101,118.25847,16.69089,2.941,0.235,0.45,5.54098E8,8.743586582589915,0.54541,1.1549,18.322678,8.55638694763184,-0.432433217763901,-0.425625366068186,-0.645633687737804,0.331939217646842,16.05417
